項目,内容
案件名,惹きつける発信の構造バイブル
クライアント,高尾なな
価格,29800
概要,裏メルマガ→LP→決済（UTAGESprite）→コンテンツサイトお渡し
販売方法,コーチコンサルLINEで裏メルマガ募集／登録日によって販売期間が後ろにずれる
コンテンツ,動画20本／購入直後から全動画が閲覧可能
配色メモ,LINEの緑＋大人っぽいピンク
スケジュール,1/13 進捗報告／1/17 ガワ完成予定

案件名,タスクNo,タスク名,タスク内容（詳細）,種別,優先度,予定開始日,予定完了日,実際の完了日,ステータス,クライアント,関連URL・場所,メモ
惹きつける発信の構造バイブル,1,裏メルマガ＆LINE登録ページ作成,"コーチコンサルLINE用の裏メルマガ登録LPとシナリオ枠のガワ作成",裏メルマガ,高,2026/01/10,2026/01/13,,未着手,高尾なな,,
惹きつける発信の構造バイブル,2,登録後サンクスメッセージ作成,"登録直後に届くメール／LINEのテンプレ文面（ななさんが書き換えやすいガワ）作成",裏メルマガ,中,2026/01/10,2026/01/13,,未着手,高尾なな,,
惹きつける発信の構造バイブル,3,コンテンツサイト（会員サイト）作成,"会員サイト新規作成、20本分のレッスン枠を作成し全件公開設定にする",コンテンツサイト,高,2026/01/11,2026/01/17,,未着手,高尾なな,,
惹きつける発信の構造バイブル,4,決済用LP（ガワ）作成,"Spriteの決済リンクを設置した簡易LPのレイアウト作成（テキストは差し替え前提）",LP,高,2026/01/12,2026/01/17,,未着手,高尾なな,,
惹きつける発信の構造バイブル,5,Sprite商品設定確認,"価格29800円の商品設定と会員サイト連携・テスト決済の動作確認",決済,中,2026/01/12,2026/01/17,,未着手,高尾なな,,

