カテゴリ,URL1,理由1,URL2,理由2,URL3,理由3
将来・収入への不安,https://stand.fm/episodes/6733dce8b748ff35d9c1400a,在宅ワークで先が見えなくて不安なときの考え方と具体的な対処法を扱っているから,https://stand.fm/episodes/682cfe2b03e841d0713fddb1,月収20万円が安定するまでのリアルな流れを共有しており収入面の将来像を描きやすいから,https://www.loom.com/share/e9afc905b3f14d2fb70ca337710b1949?sid=129bb13a-5c55-4b26-86d2-eaa1fbd9cbeb,月収50〜200万円に至るまで何をしてきたかを具体的に語っていて収入不安の解消につながるから
初案件・案件獲得ができない,https://stand.fm/episodes/67beddbe04ca09d8f236dedd,図解とスライドでゼロから実案件を取る王道ステップを解説しているから,https://stand.fm/episodes/683f7579e9882ab4c6361957,初案件獲得の具体例とそこに至るプロセスを共有しているから,https://www.loom.com/share/f8c6d85162de462db505d09954053df1?sid=264817e2-9025-4811-a364-f0a624747517,速攻で案件獲得するための四つの方法を整理しているから
単価が上がらない・稼ぎが頭打ち,https://www.loom.com/share/ac731831b8cb4f90979ccdbc8bf351ce?sid=eeff1be1-9078-4d97-aa39-597a403e5e91,単価を上げるためのブランディング視点を具体的に解説しているから,https://youtu.be/klEZpXcVgBg?si=INGw40TlsecxMODz,単価アップの本質と必要な行動を体系的に教えているから,https://x.com/ponnuzukai/status/1938119077698146468?s=46&t=DIlpsZfZQJqamGKAPFDzSw,1500円と3000円のスライドの違いを通じて単価差の理由を言語化しているから
時間管理・キャパオーバー・両立,https://www.loom.com/share/cf6418f3f3b148678ec7d6ec9317e702,タスク管理の具体的なコツ三つを挙げて日々の時間配分の改善策を話しているから,https://www.loom.com/share/d2f04868b1a546a8bca53d0866ad3372,時間がうまく使えない人向けにタスク管理のマインドセットを整理しているから,https://stand.fm/episodes/6833ca059d34dd574275b32b,マルチタスクができる人とできない人の違いから効率的な時間の使い方を解説しているから
モチベ低下・心が折れそう,https://www.loom.com/share/3de65826327f4ea18b49cd076cef9f3c,心が折れそうなときの乗り越え方をテーマに具体的な視点の切り替え方を話しているから,https://www.loom.com/share/683249d9378148a184587c3dcb08e081?sid=934110b0-e1f2-4c73-a8fe-6befae49bcbf,気分が落ちた時の解消方法にフォーカスしてメンタルの立て直し方を示しているから,https://www.loom.com/share/f8b98daa2ac9492aa5af6ad8394e50db,うまくいかないことが多い時期の気持ちと向き合い方を率直に語っているから
自己投資・講座選びの迷い,https://stand.fm/episodes/67c23c5102d1d15fa8924dc2,自分のレイヤーごとにどんな自己投資をすべきかを整理して投資判断の軸を示しているから,https://www.loom.com/share/6d7402daa4304f8daf5f8e1bf5d54fee?sid=f1751361-1028-42c2-afd5-0b3ed0cc2f94,高額SNS教材への自己投資から二年半を経た学びを共有しているから,https://drive.google.com/file/d/1RMGg9SpaOMVOdzenrT11ajMpY0rN-Sj2/view?usp=drivesdk,自己投資脳というテーマでお金の使い方と投資マインドについて扱っているから
SNS発信が怖い・続かない,https://stand.fm/episodes/67abd36ffeac83b67ad5249b,X発信をゼロからどう始めるかのステップを具体的に分解しているから,https://stand.fm/episodes/68bab66f2d1e5d80b28963ca,X運用をやるべきかどうか迷う人に向けて続け方とやめ時の基準を話しているから,https://youtu.be/j9JTo8rUBYg?si=k68EoGQwPN3k4l4v,Xで何を言えばいいか分からない状態から抜けるヒントをインタビュー形式で示しているから
自信のなさ・センス不安・比較,https://stand.fm/episodes/68c3636f5a1363f4befb5b27,誰でもできるセンスの作り方を具体例付きで解説してセンス不安をほぐしているから,https://stand.fm/episodes/67eda663ecff890d9dbacf59,人と比べて落ち込みがちなときに思い出してほしい視点を共有しているから,https://stand.fm/episodes/6808bf12b45c57c504c0e7c2,図解がうまくなるための思考法を紹介して自信をつけるプロセスを語っているから
家族・パートナーとの不和,https://stand.fm/episodes/6913c61ea72deec9e06dc8f5,家族との亀裂が入ったときにどう向き合うかをストレートに扱っているから,https://www.loom.com/share/2abf331331194f7a9bb2a4cf64dba37d?sid=3e56ca00-83e7-489a-bcb3-6b86eca7d52f,パートナーとうまくいかない問題に焦点を当てて具体的な考え方を共有しているから,https://stand.fm/episodes/6805e7afc2dd7b79a1389096,出張を諦めたエピソードを通して家族と仕事の優先順位の葛藤を話しているから
コミュニケーション・クライアントワーク不安,https://x.com/rikuya_movier/status/1821730826973016285?s=46&t=DIlpsZfZQJqamGKAPFDzSw,クライアントワーク力が低い人高い人の違いを端的に示しており仕事の進め方の指針になるから,https://www.loom.com/share/140963c9bb0449df9ca409aa4334da99,「この人丁寧」と思われるテキストメッセージの具体例を通じてコミュニケーション不安を和らげるから,https://www.loom.com/share/3540200f1772416a9b8cc13c10c73d60?sid=667edf1e-9dca-46d8-a61c-0439665728f0,修正対応とお金と信頼の関係性を解説しクライアントワーク時の判断材料になるから
行動できない・頭でっかち,https://stand.fm/episodes/6850ac32d7d0f68466c16db3,頭でっかちにならないための考え方と行動の重要性を強く伝えているから,https://stand.fm/episodes/681be2ad34ae4ca574362dda,悩んでいる状態そのものをどう捉えるかを整理し立ち止まり続けないためのヒントを与えているから,https://stand.fm/episodes/67bcf614a55bc9f907aba689,ポストするハードルを下げて小さく行動し続ける価値を語っているから
自分の軸・コンセプトが決まらない,https://youtu.be/uCpQnSyP3DM,発信の軸として押さえておきたいポイントを具体的に解説しているから,https://www.canva.com/design/DAGLoD3Ao4M/B4WwnO3-rddU-LeJlaiG7g/view?utm_content=DAGLoD3Ao4M&utm_campaign=designshare&utm_medium=link&utm_source=publishsharelink&mode=preview,Xアカウントの軸が決まる穴埋めシートとしてコンセプト設計を直接サポートしているから,https://x.com/ponnuzukai/status/1944329708541497437?s=46&t=DIlpsZfZQJqamGKAPFDzSw,X運用を“仕事の広報”としてどう位置付けるかを説明し発信の軸を捉え直す助けになるから


